trade_date,open
2021-06-15,5.81
2021-06-11,5.81
2021-06-10,5.75
2021-06-09,5.69
2021-06-08,5.65
2021-06-07,5.68
2021-06-04,5.7
2021-06-03,5.65
2021-06-02,5.74
2021-06-01,5.77
2021-05-31,5.77
2021-05-28,5.84
2021-05-27,5.63
2021-05-26,5.6
2021-05-25,5.58
2021-05-24,5.57
2021-05-21,5.61
2021-05-20,5.51
2021-05-19,5.54
2021-05-18,5.58
2021-05-17,5.64
2021-05-14,5.62
2021-05-13,5.6
2021-05-12,5.65
2021-05-11,5.59
2021-05-10,5.65
2021-05-07,5.7
2021-05-06,5.86
2021-04-30,5.83
2021-04-29,5.75
2021-04-28,5.7
2021-04-27,5.77
2021-04-26,5.9
2021-04-23,5.87
2021-04-22,5.89
2021-04-21,5.88
2021-04-20,5.98
2021-04-19,5.86
2021-04-16,5.76
2021-04-15,5.84
2021-04-14,5.85
2021-04-13,6.08
2021-04-12,6.0
2021-04-09,6.0
2021-04-08,6.02
2021-04-07,5.92
2021-04-06,5.88
2021-04-02,5.81
2021-04-01,5.84
2021-03-31,5.78
2021-03-30,5.76
2021-03-29,5.73
2021-03-26,5.51
2021-03-25,5.48
2021-03-24,5.58
2021-03-23,5.67
2021-03-22,5.64
2021-03-19,5.65
2021-03-18,5.77
2021-03-17,5.86
2021-03-16,5.9
2021-03-15,5.84
2021-03-12,5.71
2021-03-11,5.67
2021-03-10,5.65
2021-03-09,5.63
2021-03-08,5.72
2021-03-05,5.68
2021-03-04,5.7
2021-03-03,5.7
2021-03-02,5.72
2021-03-01,5.71
2021-02-26,5.7
2021-02-25,5.76
2021-02-24,5.74
2021-02-23,5.81
2021-02-22,5.83
2021-02-19,5.45
2021-02-18,5.6
2021-02-10,5.34
2021-02-09,5.24
2021-02-08,5.19
2021-02-05,5.16
2021-02-04,5.16
2021-02-03,5.28
2021-02-02,5.31
2021-02-01,5.36
2021-01-29,5.39
2021-01-28,5.48
2021-01-27,5.49
2021-01-26,5.49
2021-01-25,5.65
2021-01-22,5.55
2021-01-21,5.48
2021-01-20,5.51
2021-01-19,5.51
2021-01-18,5.57
2021-01-15,5.53
2021-01-14,5.48
2021-01-13,5.43
2021-01-12,5.48
2021-01-11,5.55
2021-01-08,5.56
2021-01-07,5.66
2021-01-06,5.57
2021-01-05,5.61
2021-01-04,5.67
2020-12-31,5.57
2020-12-30,5.58
2020-12-29,5.55
2020-12-28,5.66
2020-12-25,5.61
2020-12-24,5.69
2020-12-23,5.76
2020-12-22,5.76
2020-12-21,5.78
2020-12-18,5.74
2020-12-17,5.71
2020-12-16,5.67
2020-12-15,5.66
2020-12-14,5.7
2020-12-11,5.7
2020-12-10,5.71
2020-12-09,5.76
2020-12-08,5.84
2020-12-07,5.89
2020-12-04,5.95
2020-12-03,5.85
2020-12-02,5.87
2020-12-01,5.77
2020-11-30,5.75
2020-11-27,5.7
2020-11-26,5.73
2020-11-25,5.77
2020-11-24,5.77
2020-11-23,5.75
2020-11-20,5.79
2020-11-19,5.87
2020-11-18,5.85
2020-11-17,5.8
2020-11-16,5.74
2020-11-13,5.76
2020-11-12,5.74
2020-11-11,5.73
2020-11-10,5.89
2020-11-09,5.74
2020-11-06,5.66
2020-11-05,5.64
2020-11-04,5.6
2020-11-03,5.54
2020-11-02,5.57
2020-10-30,5.59
2020-10-29,5.59
2020-10-28,5.72
2020-10-27,5.72
2020-10-26,5.65
2020-10-23,5.52
2020-10-22,5.54
2020-10-21,5.66
2020-10-20,5.74
2020-10-19,5.73
2020-10-16,5.77
2020-10-15,5.82
2020-10-14,5.86
2020-10-13,5.9
2020-10-12,5.87
2020-10-09,5.9
2020-09-30,5.84
2020-09-29,5.86
2020-09-28,5.97
2020-09-25,6.08
2020-09-24,6.11
2020-09-23,6.14
2020-09-22,6.16
2020-09-21,6.2
2020-09-18,6.15
2020-09-17,6.19
2020-09-16,6.16
2020-09-15,6.16
2020-09-14,6.14
2020-09-11,6.13
2020-09-10,6.17
2020-09-09,6.18
2020-09-08,6.21
2020-09-07,6.18
2020-09-04,6.15
2020-09-03,6.19
2020-09-02,6.21
2020-09-01,6.22
2020-08-31,6.22
2020-08-28,6.18
2020-08-27,6.18
2020-08-26,6.21
2020-08-25,6.24
2020-08-24,6.28
2020-08-21,6.26
2020-08-20,6.28
2020-08-19,6.31
2020-08-18,6.38
2020-08-17,6.32
2020-08-14,6.31
2020-08-13,6.36
2020-08-12,6.19
2020-08-11,6.24
2020-08-10,6.18
2020-08-07,6.2
2020-08-06,6.24
2020-08-05,6.26
2020-08-04,6.28
2020-08-03,6.21
2020-07-31,6.18
2020-07-30,6.24
2020-07-29,6.2
2020-07-28,6.24
2020-07-27,6.16
2020-07-24,6.21
2020-07-23,6.24
2020-07-22,6.28
2020-07-21,6.31
2020-07-20,6.23
2020-07-17,6.27
2020-07-16,6.5
2020-07-15,6.89
2020-07-14,6.71
2020-07-13,6.66
2020-07-10,6.8
2020-07-09,6.81
2020-07-08,6.71
2020-07-07,6.88
2020-07-06,6.63
2020-07-03,6.46
2020-07-02,6.29
2020-07-01,6.23
2020-06-30,6.21
2020-06-29,6.26
2020-06-24,6.28
2020-06-23,6.3
2020-06-22,6.33
2020-06-19,6.28
2020-06-18,6.23
2020-06-17,6.26
2020-06-16,6.27
2020-06-15,6.35
2020-06-12,6.37
2020-06-11,6.6
2020-06-10,6.56
2020-06-09,6.66
2020-06-08,6.44
2020-06-05,6.38
2020-06-04,6.38
2020-06-03,6.32
2020-06-02,6.35
2020-06-01,6.25
2020-05-29,6.25
2020-05-28,6.19
2020-05-27,6.24
2020-05-26,6.22
2020-05-25,6.12
2020-05-22,6.15
2020-05-21,6.23
2020-05-20,6.26
2020-05-19,6.28
2020-05-18,6.25
2020-05-15,6.29
2020-05-14,6.33
2020-05-13,6.27
2020-05-12,6.35
2020-05-11,6.45
2020-05-08,6.36
2020-05-07,6.37
2020-05-06,6.35
2020-04-30,6.53
2020-04-29,6.05
2020-04-28,6.09
2020-04-27,6.11
2020-04-24,6.16
2020-04-23,6.18
2020-04-22,6.16
2020-04-21,6.23
2020-04-20,6.28
2020-04-17,6.28
2020-04-16,6.25
2020-04-15,6.27
2020-04-14,6.23
2020-04-13,6.22
2020-04-10,6.36
2020-04-09,6.41
2020-04-08,6.27
2020-04-07,6.26
2020-04-03,6.22
2020-04-02,6.16
2020-04-01,6.19
2020-03-31,6.27
2020-03-30,6.25
2020-03-27,6.46
2020-03-26,6.37
2020-03-25,6.37
2020-03-24,6.18
2020-03-23,6.17
