trade_date,open
2021-06-15,5.1
2021-06-11,5.08
2021-06-10,5.09
2021-06-09,5.1
2021-06-08,5.11
2021-06-07,5.16
2021-06-04,5.21
2021-06-03,5.17
2021-06-02,5.16
2021-06-01,5.19
2021-05-31,5.25
2021-05-28,5.24
2021-05-27,5.24
2021-05-26,5.26
2021-05-25,5.19
2021-05-24,5.26
2021-05-21,5.3
2021-05-20,5.48
2021-05-19,5.39
2021-05-18,5.39
2021-05-17,5.34
2021-05-14,5.33
2021-05-13,5.32
2021-05-12,5.34
2021-05-11,5.36
2021-05-10,5.35
2021-05-07,5.23
2021-05-06,5.17
2021-04-30,5.23
2021-04-29,5.23
2021-04-28,5.1
2021-04-27,5.15
2021-04-26,5.1
2021-04-23,5.25
2021-04-22,5.26
2021-04-21,5.29
2021-04-20,5.33
2021-04-19,5.28
2021-04-16,5.25
2021-04-15,5.36
2021-04-14,5.24
2021-04-13,5.27
2021-04-12,5.26
2021-04-09,5.31
2021-04-08,5.38
2021-04-07,5.34
2021-04-06,5.32
2021-04-02,5.49
2021-04-01,5.48
2021-03-31,5.38
2021-03-30,5.47
2021-03-29,5.44
2021-03-26,5.37
2021-03-25,5.61
2021-03-24,5.48
2021-03-23,5.73
2021-03-22,5.55
2021-03-19,5.43
2021-03-18,5.46
2021-03-17,5.61
2021-03-16,5.67
2021-03-15,5.57
2021-03-12,5.32
2021-03-11,5.26
2021-03-10,5.35
2021-03-09,5.4
2021-03-08,5.37
2021-03-05,5.23
2021-03-04,5.22
2021-03-03,5.18
2021-03-02,5.13
2021-03-01,5.17
2021-02-26,5.2
2021-02-25,5.2
2021-02-24,5.11
2021-02-23,5.18
2021-02-22,5.03
2021-02-19,4.89
2021-02-18,4.88
2021-02-10,4.82
2021-02-09,4.77
2021-02-08,4.69
2021-02-05,4.71
2021-02-04,4.92
2021-02-03,5.08
2021-02-02,5.15
2021-02-01,5.23
2021-01-29,5.11
2021-01-28,4.98
2021-01-27,5.03
2021-01-26,5.0
2021-01-25,4.95
2021-01-22,5.11
2021-01-21,5.08
2021-01-20,5.09
2021-01-19,5.21
2021-01-18,5.18
2021-01-15,5.37
2021-01-14,5.19
2021-01-13,4.85
2021-01-12,4.83
2021-01-11,4.99
2021-01-08,5.04
2021-01-07,4.97
2021-01-06,4.85
2021-01-05,4.87
2021-01-04,4.92
2020-12-31,4.87
2020-12-30,4.89
2020-12-29,5.03
2020-12-28,5.05
2020-12-25,4.88
2020-12-24,4.92
2020-12-23,4.75
2020-12-22,4.82
2020-12-21,4.85
2020-12-18,4.75
2020-12-17,4.64
2020-12-16,4.69
2020-12-15,4.65
2020-12-14,4.69
2020-12-11,4.67
2020-12-10,4.7
2020-12-09,4.74
2020-12-08,4.73
2020-12-07,4.83
2020-12-04,4.83
2020-12-03,4.89
2020-12-02,4.94
2020-12-01,4.9
2020-11-30,4.85
2020-11-27,4.8
2020-11-26,4.69
2020-11-25,4.74
2020-11-24,4.72
2020-11-23,4.67
2020-11-20,4.67
2020-11-19,4.68
2020-11-18,4.7
2020-11-17,4.72
2020-11-16,4.59
2020-11-13,4.6
2020-11-12,4.66
2020-11-11,4.66
2020-11-10,4.71
2020-11-09,4.66
2020-11-06,4.62
2020-11-05,4.61
2020-11-04,4.61
2020-11-03,4.62
2020-11-02,4.45
2020-10-30,4.5
2020-10-29,4.44
2020-10-28,4.44
2020-10-27,4.45
2020-10-26,4.48
2020-10-23,4.49
2020-10-22,4.52
2020-10-21,4.53
2020-10-20,4.49
2020-10-19,4.57
2020-10-16,4.56
2020-10-15,4.58
2020-10-14,4.53
2020-10-13,4.55
2020-10-12,4.48
2020-10-09,4.43
2020-09-30,4.43
2020-09-29,4.42
2020-09-28,4.38
2020-09-25,4.4
2020-09-24,4.45
2020-09-23,4.53
2020-09-22,4.55
2020-09-21,4.61
2020-09-18,4.53
2020-09-17,4.56
2020-09-16,4.53
2020-09-15,4.58
2020-09-14,4.55
2020-09-11,4.55
2020-09-10,4.68
2020-09-09,4.63
2020-09-08,4.65
2020-09-07,4.77
2020-09-04,4.7
