trade_date,open
2021-06-15,5.12
2021-06-11,5.14
2021-06-10,5.22
2021-06-09,5.22
2021-06-08,5.24
2021-06-07,5.33
2021-06-04,5.39
2021-06-03,5.57
2021-06-02,5.36
2021-06-01,5.38
2021-05-31,5.45
2021-05-28,5.8
2021-05-27,5.11
2021-05-26,4.91
2021-05-25,5.06
2021-05-24,5.1
2021-05-21,5.05
2021-05-20,5.13
2021-05-19,5.25
2021-05-18,5.15
2021-05-17,5.22
2021-05-14,5.26
2021-05-13,5.27
2021-05-12,5.29
2021-05-11,5.17
2021-05-10,5.27
2021-05-07,5.39
2021-05-06,5.37
2021-04-30,5.72
2021-04-29,6.17
2021-04-28,6.14
2021-04-27,6.33
2021-04-26,6.37
2021-04-23,6.63
2021-04-22,6.33
2021-04-21,6.44
2021-04-20,6.58
2021-04-19,6.54
2021-04-16,6.4
2021-04-15,6.44
2021-04-14,6.49
2021-04-13,6.7
2021-04-12,6.68
2021-04-09,6.81
2021-04-08,7.06
2021-04-07,6.23
2021-04-06,6.26
2021-04-02,6.2
2021-04-01,6.24
2021-03-31,6.06
2021-03-30,6.17
2021-03-29,6.2
2021-03-26,6.01
2021-03-25,6.05
2021-03-24,6.5
2021-03-23,6.88
2021-03-22,6.91
2021-03-19,6.93
2021-03-18,7.05
2021-03-17,6.92
2021-03-16,6.86
2021-03-15,7.0
2021-03-12,7.2
2021-03-11,7.15
2021-03-10,7.31
2021-03-09,7.83
2021-03-08,7.71
2021-03-05,7.43
2021-03-04,7.63
2021-03-03,7.55
2021-03-02,7.95
2021-03-01,7.91
2021-02-26,8.07
2021-02-25,7.1
2021-02-24,7.03
2021-02-23,6.89
2021-02-22,7.66
2021-02-19,8.51
2021-01-28,9.54
2021-01-27,10.06
2021-01-26,10.1
2021-01-25,10.8
2021-01-22,11.25
2021-01-21,11.25
2021-01-20,11.69
2021-01-19,11.34
2021-01-18,11.57
2021-01-15,11.68
2021-01-14,11.19
2021-01-13,11.03
2021-01-12,11.28
2021-01-11,12.0
2021-01-08,11.66
2021-01-07,12.25
