trade_date,open
2021-12-17,3.312
2021-12-16,3.304
2021-12-15,3.332
2021-12-14,3.341
2021-12-13,3.375
2021-12-10,3.34
2021-12-09,3.308
2021-12-08,3.259
2021-12-07,3.244
2021-12-06,3.22
2021-12-03,3.192
2021-12-02,3.172
2021-12-01,3.164
2021-11-30,3.185
2021-11-29,3.175
2021-11-26,3.247
2021-11-25,3.277
2021-11-24,3.261
2021-11-23,3.243
2021-11-22,3.256
2021-11-19,3.207
2021-11-18,3.237
2021-11-17,3.256
2021-11-16,3.266
2021-11-15,3.268
2021-11-12,3.28
2021-11-11,3.2
2021-11-10,3.223
2021-11-09,3.246
2021-11-08,3.24
2021-11-05,3.238
2021-11-04,3.232
2021-11-03,3.25
2021-11-02,3.289
2021-11-01,3.284
2021-10-29,3.289
2021-10-28,3.28
2021-10-27,3.317
2021-10-26,3.356
2021-10-25,3.337
2021-10-22,3.323
2021-10-21,3.3
2021-10-20,3.3
2021-10-19,3.263
2021-10-18,3.334
2021-10-15,3.302
2021-10-14,3.322
2021-10-13,3.292
2021-10-12,3.3
2021-10-11,3.309
2021-10-08,3.262
2021-09-30,3.248
2021-09-29,3.225
2021-09-28,3.243
2021-09-27,3.2
2021-09-24,3.16
2021-09-23,3.178
2021-09-22,3.148
2021-09-17,3.167
2021-09-16,3.184
2021-09-15,3.225
2021-09-14,3.278
2021-09-13,3.281
2021-09-10,3.236
2021-09-09,3.235
2021-09-08,3.283
2021-09-07,3.249
2021-09-06,3.213
2021-09-03,3.209
2021-09-02,3.211
2021-09-01,3.129
2021-08-31,3.136
2021-08-30,3.175
2021-08-27,3.125
2021-08-26,3.197
2021-08-25,3.191
2021-08-24,3.146
2021-08-23,3.122
2021-08-20,3.159
2021-08-19,3.22
2021-08-18,3.182
2021-08-17,3.26
2021-08-16,3.255
2021-08-13,3.25
2021-08-12,3.289
2021-08-11,3.313
2021-08-10,3.261
2021-08-09,3.21
2021-08-06,3.25
2021-08-05,3.247
2021-08-04,3.247
2021-08-03,3.228
2021-08-02,3.15
2021-07-30,3.19
2021-07-29,3.229
2021-07-28,3.152
2021-07-27,3.259
2021-07-26,3.371
2021-07-23,3.425
2021-07-22,3.425
2021-07-21,3.415
2021-07-20,3.392
2021-07-19,3.39
2021-07-16,3.438
2021-07-15,3.368
2021-07-14,3.42
2021-07-13,3.414
2021-07-12,3.402
2021-07-09,3.384
2021-07-08,3.445
2021-07-07,3.415
2021-07-06,3.42
2021-07-05,3.419
2021-07-02,3.517
2021-07-01,3.526
2021-06-30,3.498
2021-06-29,3.526
2021-06-28,3.547
2021-06-25,3.489
2021-06-24,3.473
2021-06-23,3.47
2021-06-22,3.444
2021-06-21,3.444
2021-06-18,3.48
2021-06-17,3.483
2021-06-16,3.521
2021-06-15,3.574
2021-06-11,3.609
2021-06-10,3.582
2021-06-09,3.57
2021-06-08,3.591
2021-06-07,3.604
2021-06-04,3.571
2021-06-03,3.608
2021-06-02,3.647
2021-06-01,3.633
2021-05-31,3.646
2021-05-28,3.657
2021-05-27,3.644
2021-05-26,3.648
2021-05-25,3.493
2021-05-24,3.474
2021-05-21,3.523
2021-05-20,3.503
2021-05-19,3.518
2021-05-18,3.538
2021-05-17,3.5
2021-05-14,3.417
2021-05-13,3.416
2021-05-12,3.42
2021-05-11,3.371
2021-05-10,3.417
2021-05-07,3.455
2021-05-06,3.462
2021-04-30,3.51
2021-04-29,3.476
2021-04-28,3.45
2021-04-27,3.456
2021-04-26,3.524
2021-04-23,3.473
2021-04-22,3.508
2021-04-21,3.473
2021-04-20,3.482
2021-04-19,3.43
2021-04-16,3.423
2021-04-15,3.448
2021-04-14,3.452
2021-04-13,3.462
2021-04-12,3.495
2021-04-09,3.548
2021-04-08,3.534
2021-04-07,3.58
2021-04-06,3.604
2021-04-02,3.582
2021-04-01,3.538
2021-03-31,3.559
2021-03-30,3.522
2021-03-29,3.525
2021-03-26,3.465
2021-03-25,3.441
2021-03-24,3.488
2021-03-23,3.524
2021-03-22,3.491
2021-03-19,3.551
2021-03-18,3.58
2021-03-17,3.576
2021-03-16,3.566
2021-03-15,3.601
2021-03-12,3.631
2021-03-11,3.539
2021-03-10,3.547
2021-03-09,3.561
2021-03-08,3.698
2021-03-05,3.65
2021-03-04,3.765
2021-03-03,3.7
2021-03-02,3.795
2021-03-01,3.777
2021-02-26,3.777
2021-02-25,3.824
2021-02-24,3.887
2021-02-23,3.849
2021-02-22,4.002
2021-02-19,3.992
2021-02-18,4.09
2021-02-10,3.95
2021-02-09,3.887
2021-02-08,3.848
2021-02-05,3.804
2021-02-04,3.746
2021-02-03,3.752
2021-02-02,3.741
2021-02-01,3.707
2021-01-29,3.747
2021-01-28,3.762
2021-01-27,3.8
2021-01-26,3.872
2021-01-25,3.83
2021-01-22,3.836
2021-01-21,3.817
2021-01-20,3.797
2021-01-19,3.846
2021-01-18,3.793
2021-01-15,3.815
2021-01-14,3.856
2021-01-13,3.91
2021-01-12,3.759
2021-01-11,3.78
2021-01-08,3.81
2021-01-07,3.737
2021-01-06,3.673
2021-01-05,3.625
2021-01-04,3.636
2020-12-31,3.571
2020-12-30,3.509
2020-12-29,3.527
2020-12-28,3.507
2020-12-25,3.472
2020-12-24,3.495
2020-12-23,3.468
2020-12-22,3.508
2020-12-21,3.506
2020-12-18,3.527
2020-12-17,3.487
2020-12-16,3.469
2020-12-15,3.458
2020-12-14,3.435
2020-12-11,3.469
2020-12-10,3.461
2020-12-09,3.507
2020-12-08,3.58
2020-12-07,3.544
2020-12-04,3.535
2020-12-03,3.544
2020-12-02,3.558
2020-12-01,3.476
2020-11-30,3.516
2020-11-27,3.498
2020-11-26,3.468
2020-11-25,3.505
2020-11-24,3.521
2020-11-23,3.472
2020-11-20,3.462
2020-11-19,3.424
2020-11-18,3.43
2020-11-17,3.425
2020-11-16,3.41
2020-11-13,3.431
2020-11-12,3.465
2020-11-11,3.462
2020-11-10,3.491
2020-11-09,3.435
2020-11-06,3.428
2020-11-05,3.418
2020-11-04,3.36
2020-11-03,3.331
2020-11-02,3.333
2020-10-30,3.375
2020-10-29,3.335
2020-10-28,3.346
2020-10-27,3.349
2020-10-26,3.38
2020-10-23,3.42
2020-10-22,3.423
2020-10-21,3.419
2020-10-20,3.398
2020-10-19,3.453
2020-10-16,3.425
2020-10-15,3.419
2020-10-14,3.431
2020-10-13,3.428
2020-10-12,3.35
2020-10-09,3.327
2020-09-30,3.31
2020-09-29,3.32
2020-09-28,3.291
2020-09-25,3.281
2020-09-24,3.305
