dates,code,in/out,enter_date,enter_price,close_date,close_price
2021-05-07,AAN,1,2021-05-10,32.43000030517578,2021-06-28,32.790000915527344
2021-05-07,ABOS,1,2021-05-10,NA,2021-06-28,NA
2021-05-07,ABSI,1,2021-05-10,NA,2021-06-28,NA
2021-05-07,ABUS,1,2021-05-10,2.8399999141693115,2021-06-28,3.809999942779541
2021-05-07,ACET,1,2021-05-10,14.069999694824219,2021-06-28,9.699999809265137
2021-05-07,ACRS,1,2021-05-10,22.709999084472656,2021-06-28,17.790000915527344
2021-05-07,ADGI,1,2021-05-10,NA,2021-06-28,NA
2021-05-07,ADN,1,2021-05-10,11.229999542236328,2021-06-28,9.399999618530273
2021-05-07,ADV,1,2021-05-10,12.920000076293945,2021-06-28,11.260000228881836
2021-05-07,AEVA,1,2021-05-10,9.279999732971191,2021-06-28,11.09000015258789
2021-05-07,AFCG,1,2021-05-10,23.459999084472656,2021-06-28,20.579999923706055
2021-05-07,AGL,1,2021-05-10,33.849998474121094,2021-06-28,39.65999984741211
2021-05-07,AGTI,1,2021-05-10,14.6899995803833,2021-06-28,21.6299991607666
2021-05-07,AHT,1,2021-05-10,28.700000762939453,2021-06-28,53.29999923706055
2021-05-07,AI,1,2021-05-10,56.5,2021-06-28,64.5
2021-05-07,AIRC,1,2021-05-10,44.52000045776367,2021-06-28,48.40999984741211
2021-05-07,AKYA,1,2021-05-10,20.040000915527344,2021-06-28,18.850000381469727
2021-05-07,ALDX,1,2021-05-10,12.479999542236328,2021-06-28,11.550000190734863
2021-05-07,ALGM,1,2021-05-10,24.65999984741211,2021-06-28,27.420000076293945
2021-05-07,ALGS,1,2021-05-10,26.239999771118164,2021-06-28,26.790000915527344
2021-05-07,ALHC,1,2021-05-10,24.06999969482422,2021-06-28,25.059999465942383
2021-05-07,ALKT,1,2021-05-10,38.29999923706055,2021-06-28,35.900001525878906
2021-05-07,ALPN,1,2021-05-10,12.010000228881836,2021-06-28,9.800000190734863
2021-05-07,ALT,1,2021-05-10,13.680000305175781,2021-06-28,16.1299991607666
2021-05-07,ALTM,1,2021-05-10,67.27999877929688,2021-06-28,70.43000030517578
2021-05-07,ALTO,1,2021-05-10,5.820000171661377,2021-06-28,6.179999828338623
2021-05-07,AMBP,1,2021-05-10,NA,2021-06-28,NA
2021-05-07,AMPE,1,2021-05-10,1.850000023841858,2021-06-28,1.7599999904632568
2021-05-07,AMTX,1,2021-05-10,13.40999984741211,2021-06-28,11.970000267028809
2021-05-07,AMWL,1,2021-05-10,13.829999923706055,2021-06-28,14.0
2021-05-07,ANGN,1,2021-05-10,14.270000457763672,2021-06-28,15.5
2021-05-07,AOMR,1,2021-05-10,NA,2021-06-28,18.100000381469727
2021-05-07,APPH,1,2021-05-10,13.770000457763672,2021-06-28,16.540000915527344
2021-05-07,APR,1,2021-05-10,28.110000610351562,2021-06-28,28.040000915527344
2021-05-07,AQB,1,2021-05-10,5.309999942779541,2021-06-28,5.980000019073486
2021-05-07,ARKO,1,2021-05-10,10.380000114440918,2021-06-28,9.300000190734863
2021-05-07,ARRY,1,2021-05-10,25.09000015258789,2021-06-28,16.049999237060547
2021-05-07,ASAN,1,2021-05-10,28.549999237060547,2021-06-28,63.0
2021-05-07,ASLE,1,2021-05-10,11.90999984741211,2021-06-28,11.899999618530273
2021-05-07,ASO,1,2021-05-10,34.70000076293945,2021-06-28,42.40999984741211
2021-05-07,ASXC,1,2021-05-10,1.909999966621399,2021-06-28,3.3499999046325684
2021-05-07,ATCX,1,2021-05-10,11.619999885559082,2021-06-28,9.609999656677246
2021-05-07,ATER,1,2021-05-10,14.869999885559082,2021-06-28,16.285999298095703
2021-05-07,ATHA,1,2021-05-10,18.56999969482422,2021-06-28,10.819999694824219
2021-05-07,ATOS,1,2021-05-10,2.700000047683716,2021-06-28,7.610000133514404
2021-05-07,AVAH,1,2021-05-10,11.59000015258789,2021-06-28,12.619999885559082
2021-05-07,AVIR,1,2021-05-10,21.5,2021-06-28,24.1299991607666
